,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation,win_prob_candidate
129,John Fleming,John_Fleming,2016,http://www.ontheissues.org/Senate/John_Fleming.htm,203959.0,0,0.106,5.0,2.5,5.0,5.0,2.5,5.0,2.5,2.5,0.0,5.0,5.0,5.0,0.0,5.0,5.0,-2.5,2.5,5.0,0.0,0.0,0.0,27.5,32.5,R,-13.6726055871,2.75491706365,3,LA,Louisiana,0.3039,0.1979,0,1,1,,1.31113448582,,
131,John Hoeven,John_Hoeven,2016,http://www.ontheissues.org/Senate/John_Hoeven.htm,267964.0,1,0.786,5.0,-2.5,5.0,5.0,5.0,2.5,-2.5,2.5,2.5,5.0,2.5,2.5,2.5,5.0,0.0,-2.5,2.5,2.5,2.5,-2.5,1.0,25.0,17.5,R,-8.78633069208,-0.911662282732,5,ND,North Dakota,0.696,-0.09,1,1,0,0.279543097548,7.8453774235,0.0356315677957,0.966017967974
134,John McCain,John_McCain,2016,http://www.ontheissues.org/Senate/John_McCain.htm,1089324.0,1,0.534,2.5,-2.5,-2.5,2.5,2.5,5.0,5.0,-2.5,2.5,5.0,2.5,-2.5,5.0,2.5,2.5,-5.0,5.0,-2.5,5.0,2.5,1.0,7.5,25.0,R,-5.43174048138,-5.44131936915,5,AZ,Arizona,0.6251,0.0911,1,1,0,1.13798785803,0.936330456178,1.21536990549,0.765274751019
135,John Kennedy,John_Neely_Kennedy,2016,http://www.ontheissues.org/Senate/John_Neely_Kennedy.htm,482380.0,1,0.25,2.5,-5.0,5.0,0.0,-5.0,-2.5,-2.5,-5.0,5.0,5.0,-2.5,5.0,-5.0,5.0,5.0,-2.5,-2.5,2.5,0.0,2.5,0.0,12.5,-7.5,R,-0.581576379553,-2.41683147039,4,LA,Louisiana,0.307,0.057,0,0,1,,1.31113448582,,
137,John Thune,John_Thune,2016,http://www.ontheissues.org/Senate/John_Thune.htm,265494.0,1,0.718,5.0,5.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,5.0,5.0,5.0,5.0,5.0,2.5,-2.5,5.0,5.0,5.0,5.0,1.0,35.0,42.5,R,-16.2195389201,-1.91313321513,0,SD,South Dakota,0.6895,-0.0285,1,1,0,0.598483768846,7.00309397317,0.0854599083118,0.910674041069
139,Johnny Isakson,Johnny_Isakson,2016,http://www.ontheissues.org/Senate/Johnny_Isakson.htm,2110737.0,1,0.55,5.0,0.0,5.0,5.0,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,0.0,5.0,5.0,2.5,2.5,1.0,37.5,40.0,R,-16.100818655,-1.88051114695,0,GA,Georgia,0.5902,0.0402,1,1,0,0.901826353322,0.637326179262,1.41501539191,0.839956277995
142,Joseph Cao,Joseph_Cao,2016,http://www.ontheissues.org/Senate/Joseph_Cao.htm,21011.0,0,0.011,2.5,0.0,-2.5,0.0,-2.5,0.0,-2.5,-2.5,2.5,-2.5,0.0,-5.0,0.0,0.0,0.0,-2.5,2.5,0.0,0.0,-5.0,0.0,-5.0,-12.5,R,5.66963772219,-0.702499854468,4,LA,Louisiana,0.4441,0.4331,1,0,1,1.35378724949,1.31113448582,1.03253118893,0.662511060451
144,Kamala Harris,Kamala_Harris,2016,http://www.ontheissues.org/Senate/Kamala_Harris.htm,6495907.0,1,0.624,-5.0,-2.5,-5.0,0.0,-2.5,0.0,0.0,-2.5,2.5,-5.0,0.0,-5.0,0.0,-5.0,0.0,0.0,-2.5,-5.0,-2.5,-5.0,0.0,-20.0,-25.0,D,12.6392353442,1.82739156897,7,CA,California,0.5712,-0.0528,1,1,1,1.44721387439,0.177191875792,8.16749564797,0.581440588166
145,Kathy Szeliga,Kathy_Szeliga,2016,http://www.ontheissues.org/Senate/Kathy_Szeliga.htm,898902.0,0,0.364,5.0,-5.0,5.0,0.0,5.0,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,-5.0,0.0,2.5,5.0,-2.5,0.0,27.5,25.0,R,-10.7278814841,-2.51983554233,5,MD,Maryland,0.4198,0.0558,0,1,0,1.17761388306,1.06139074183,1.10950080555,0.250034877609
146,Katie McGinty,Katie_McGinty,2016,http://www.ontheissues.org/Senate/Katie_McGinty.htm,2793668.0,0,0.472,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,-2.5,2.5,-5.0,-2.5,-2.5,-2.5,5.0,-5.0,-5.0,-2.5,-2.5,-2.5,0.0,-27.5,-32.5,D,14.6771225879,1.24473086414,7,PA,Pennsylvania,0.4747,0.0027,0,1,0,1.24398543083,0.456920646746,2.7225415172,0.278453883925
