,full_name,first_name,last_name,party,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
44,Thad_Cochran,Thad,Cochran,R,MS,2.5,-2.5,5.0,5.0,2.5,5.0,5.0,2.5,2.5,5.0,5.0,2.5,2.5,5.0,5.0,-2.5,5.0,2.5,5.0,2.5,32.5,32.5,R,-13.3760156339,-3.78368979535,0
45,Roger_Wicker,Roger,Wicker,R,MS,5.0,2.5,5.0,5.0,2.5,2.5,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,2.5,40.0,40.0,R,-16.1582963228,-4.45119960115,0
46,Claire_McCaskill,Claire,McCaskill,D,MO,-5.0,-5.0,-5.0,0.0,-5.0,-2.5,-2.5,-2.5,2.5,-2.5,-5.0,2.5,0.0,-2.5,2.5,-5.0,-2.5,-2.5,2.5,-5.0,-10.0,-32.5,D,12.4797325639,-3.80990038015,1
47,Roy_Blunt,Roy,Blunt,R,MO,5.0,2.5,5.0,5.0,5.0,5.0,2.5,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,35.0,42.5,R,-16.2101318831,-2.32165267846,0
48,Jon_Tester,Jon,Tester,D,MT,-5.0,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-2.5,-2.5,5.0,-5.0,2.5,-2.5,-5.0,-2.5,-5.0,-2.5,-5.0,2.5,-5.0,-20.0,-35.0,D,13.768373313,-0.628294172462,7
49,Steve_Daines,Steve,Daines,R,MT,5.0,-2.5,5.0,5.0,5.0,2.5,2.5,5.0,0.0,5.0,5.0,2.5,2.5,2.5,-5.0,0.0,2.5,5.0,-5.0,0.0,15.0,27.5,R,-10.4351029606,8.16223018905,6
50,Deb_Fischer,Deb,Fischer,R,NE,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,-5.0,5.0,5.0,-5.0,5.0,30.0,37.5,R,-15.5220794433,5.08639061513,3
51,Ben_Sasse,Ben,Sasse,R,NE,5.0,0.0,5.0,5.0,5.0,5.0,2.5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,-2.5,2.5,5.0,-2.5,5.0,22.5,37.5,R,-14.2369373209,4.42406072727,3
52,Catherine_Cortez_Masto,Catherine,Cortez-Masto,D,NV,-5.0,-5.0,2.5,0.0,-5.0,-5.0,-5.0,-5.0,2.5,-2.5,-2.5,-5.0,-5.0,-2.5,0.0,-5.0,2.5,-5.0,-2.5,-2.5,-15.0,-40.0,D,13.8471911593,-1.13262488559,7
53,Dean_Heller,Dean,Heller,R,NV,2.5,-5.0,2.5,0.0,5.0,0.0,2.5,0.0,-2.5,5.0,5.0,5.0,2.5,5.0,0.0,-5.0,5.0,2.5,2.5,-2.5,10.0,20.0,R,-6.76085700101,-0.616268391226,5
54,Jeanne_Shaheen,Jeanne,Shaheen,D,NH,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-2.5,0.0,2.5,0.0,-2.5,-2.5,2.5,-2.5,0.0,-5.0,2.5,-2.5,2.5,-5.0,-12.5,-25.0,D,11.4047351158,-4.27245238986,1
55,Maggie_Hassan,Maggie,Hassan,D,NH,-5.0,-5.0,-5.0,0.0,-5.0,0.0,-5.0,2.5,2.5,-2.5,0.0,2.5,2.5,2.5,2.5,-2.5,5.0,-5.0,-2.5,-5.0,0.0,-22.5,D,8.13244284724,-2.76660116978,1
56,Cory_Booker,Cory,Booker,D,NJ,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,5.0,-5.0,-2.5,-5.0,2.5,-5.0,-2.5,-5.0,2.5,-5.0,-2.5,-5.0,-2.5,-2.5,-32.5,-25.0,D,13.7167027698,3.12167729558,7
57,Tom_Udall,Tom,Udall,D,NM,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-5.0,-40.0,-45.0,D,20.5392343629,3.57388241482,2
58,Martin_Heinrich,Martin,Heinrich,D,NM,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,0.0,2.5,-5.0,-2.5,-5.0,0.0,0.0,-5.0,2.5,-5.0,0.0,-5.0,-22.5,-37.5,D,15.2404079333,-3.28102839423,7
59,Charles_Schumer,Charles,Schumer,D,NY,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,2.5,-5.0,-5.0,-5.0,-2.5,-5.0,2.5,-5.0,2.5,-5.0,2.5,-5.0,-15.0,-47.5,D,17.3119984589,-4.55361108883,7
60,Kirsten_Gillibrand,Kirsten,Gillibrand,D,NY,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,0.0,-5.0,-2.5,-5.0,0.0,-5.0,-32.5,-40.0,D,17.8853372113,0.288724337487,7
61,Richard_Burr,Richard,Burr,R,NC,5.0,0.0,5.0,5.0,5.0,5.0,2.5,2.5,2.5,5.0,5.0,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,40.0,40.0,R,-16.6469427819,-2.07389976325,0
