,full_name,first_name,last_name,party,party_full,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
44,Thad_Cochran,Thad,Cochran,R,Republican,MS,2.5,-2.5,5,5,2.5,5,5,2.5,2.5,5,5,2.5,2.5,5,5,-2.5,5,2.5,5,2.5,32.5,32.5,R,-13.37601563,-3.783689795,0
45,Roger_Wicker,Roger,Wicker,R,Republican,MS,5,2.5,5,5,2.5,2.5,5,0,5,5,5,5,5,5,5,0,5,5,5,2.5,40,40,R,-16.15829632,-4.451199601,0
46,Claire_McCaskill,Claire,McCaskill,D,Democrat,MO,-5,-5,-5,0,-5,-2.5,-2.5,-2.5,2.5,-2.5,-5,2.5,0,-2.5,2.5,-5,-2.5,-2.5,2.5,-5,-10,-32.5,D,12.47973256,-3.80990038,1
47,Roy_Blunt,Roy,Blunt,R,Republican,MO,5,2.5,5,5,5,5,2.5,2.5,2.5,5,5,2.5,5,5,5,-2.5,5,5,5,2.5,35,42.5,R,-16.21013188,-2.321652678,0
48,Jon_Tester,Jon,Tester,D,Democrat,MT,-5,-5,-2.5,-2.5,-5,-5,-2.5,-2.5,-2.5,5,-5,2.5,-2.5,-5,-2.5,-5,-2.5,-5,2.5,-5,-20,-35,D,13.76837331,-0.628294172,7
49,Steve_Daines,Steve,Daines,R,Republican,MT,5,-2.5,5,5,5,2.5,2.5,5,0,5,5,2.5,2.5,2.5,-5,0,2.5,5,-5,0,15,27.5,R,-10.43510296,8.162230189,6
50,Deb_Fischer,Deb,Fischer,R,Republican,NE,5,2.5,5,5,5,2.5,2.5,5,5,5,5,5,0,5,5,-5,5,5,-5,5,30,37.5,R,-15.52207944,5.086390615,3
51,Ben_Sasse,Ben,Sasse,R,Republican,NE,5,0,5,5,5,5,2.5,0,0,5,5,5,0,5,5,-2.5,2.5,5,-2.5,5,22.5,37.5,R,-14.23693732,4.424060727,3
52,Catherine_Cortez_Masto,Catherine,Cortez-Masto,D,Democrat,NV,-5,-5,2.5,0,-5,-5,-5,-5,2.5,-2.5,-2.5,-5,-5,-2.5,0,-5,2.5,-5,-2.5,-2.5,-15,-40,D,13.84719116,-1.132624886,7
53,Dean_Heller,Dean,Heller,R,Republican,NV,2.5,-5,2.5,0,5,0,2.5,0,-2.5,5,5,5,2.5,5,0,-5,5,2.5,2.5,-2.5,10,20,R,-6.760857001,-0.616268391,5
54,Jeanne_Shaheen,Jeanne,Shaheen,D,Democrat,NH,-5,-5,-5,-2.5,-5,-2.5,-2.5,0,2.5,0,-2.5,-2.5,2.5,-2.5,0,-5,2.5,-2.5,2.5,-5,-12.5,-25,D,11.40473512,-4.27245239,1
55,Maggie_Hassan,Maggie,Hassan,D,Democrat,NH,-5,-5,-5,0,-5,0,-5,2.5,2.5,-2.5,0,2.5,2.5,2.5,2.5,-2.5,5,-5,-2.5,-5,0,-22.5,D,8.132442847,-2.76660117,1
56,Cory_Booker,Cory,Booker,D,Democrat,NJ,-5,-5,-2.5,-5,-5,-2.5,5,-5,-2.5,-5,2.5,-5,-2.5,-5,2.5,-5,-2.5,-5,-2.5,-2.5,-32.5,-25,D,13.71670277,3.121677296,7
57,Tom_Udall,Tom,Udall,D,Democrat,NM,-5,-5,-5,-5,-5,-2.5,-5,-5,-2.5,-5,-5,-5,-2.5,-5,-2.5,-2.5,-5,-5,-2.5,-5,-40,-45,D,20.53923436,3.573882415,2
58,Martin_Heinrich,Martin,Heinrich,D,Democrat,NM,-5,-5,-5,-2.5,-5,-5,-5,-5,0,2.5,-5,-2.5,-5,0,0,-5,2.5,-5,0,-5,-22.5,-37.5,D,15.24040793,-3.281028394,7
59,Charles_Schumer,Charles,Schumer,D,Democrat,NY,-5,-5,-5,-2.5,-5,-5,-5,-2.5,2.5,-5,-5,-5,-2.5,-5,2.5,-5,2.5,-5,2.5,-5,-15,-47.5,D,17.31199846,-4.553611089,7
60,Kirsten_Gillibrand,Kirsten,Gillibrand,D,Democrat,NY,-5,-5,-5,-2.5,-5,-5,-2.5,-5,-2.5,-2.5,-2.5,-5,-2.5,-5,0,-5,-2.5,-5,0,-5,-32.5,-40,D,17.88533721,0.288724337,7
61,Richard_Burr,Richard,Burr,R,Republican,NC,5,0,5,5,5,5,2.5,2.5,2.5,5,5,2.5,2.5,5,5,2.5,5,5,5,5,40,40,R,-16.64694278,-2.073899763,0
62,Thom_Tillis,Thom,Tillis,R,Republican,NC,5,2.5,5,5,5,2.5,2.5,5,5,5,5,5,0,0,5,5,2.5,5,0,5,42.5,32.5,R,-15.70543293,3.611554479,3
63,John_Hoeven,John,Hoeven,R,Republican,ND,5,-2.5,5,5,5,2.5,-2.5,2.5,2.5,5,2.5,2.5,2.5,5,0,-2.5,2.5,2.5,2.5,-2.5,25,17.5,R,-8.786330692,-0.911662283,5
64,Heidi_Heitkamp,Heidi,Heitkamp,D,Democrat,ND,2.5,-5,-2.5,0,-5,-5,2.5,2.5,2.5,5,-5,0,0,0,0,-2.5,-2.5,5,2.5,2.5,2.5,-5,D,1.833630635,-0.268984635,4
