,can_id,candidate,topic,value,state
203,11,Conner Eldridge,4,0.0,Arkansas
204,11,Conner Eldridge,5,-2.5,Arkansas
205,11,Conner Eldridge,6,-5.0,Arkansas
206,11,Conner Eldridge,7,-2.5,Arkansas
207,11,Conner Eldridge,8,2.5,Arkansas
208,11,Conner Eldridge,9,2.5,Arkansas
209,11,Conner Eldridge,10,5.0,Arkansas
210,11,Conner Eldridge,11,2.5,Arkansas
211,11,Conner Eldridge,12,-2.5,Arkansas
212,11,Conner Eldridge,13,-5.0,Arkansas
213,11,Conner Eldridge,14,5.0,Arkansas
214,11,Conner Eldridge,15,5.0,Arkansas
215,11,Conner Eldridge,16,-2.5,Arkansas
216,11,Conner Eldridge,17,2.5,Arkansas
217,11,Conner Eldridge,18,0.0,Arkansas
218,11,Conner Eldridge,19,2.5,Arkansas
219,11,Conner Eldridge,20,2.5,Arkansas
220,12,Dan Carter,1,0.0,Connecticut
221,12,Dan Carter,2,0.0,Connecticut
222,12,Dan Carter,3,0.0,Connecticut
223,12,Dan Carter,4,0.0,Connecticut
224,12,Dan Carter,5,5.0,Connecticut
225,12,Dan Carter,6,0.0,Connecticut
226,12,Dan Carter,7,0.0,Connecticut
227,12,Dan Carter,8,0.0,Connecticut
228,12,Dan Carter,9,0.0,Connecticut
229,12,Dan Carter,10,5.0,Connecticut
230,12,Dan Carter,11,5.0,Connecticut
231,12,Dan Carter,12,5.0,Connecticut
232,12,Dan Carter,13,-5.0,Connecticut
233,12,Dan Carter,14,5.0,Connecticut
234,12,Dan Carter,15,5.0,Connecticut
235,12,Dan Carter,16,-2.5,Connecticut
236,12,Dan Carter,17,5.0,Connecticut
237,12,Dan Carter,18,0.0,Connecticut
238,12,Dan Carter,19,5.0,Connecticut
239,12,Dan Carter,20,5.0,Connecticut
240,13,Darryl Glenn,1,5.0,Colorado
241,13,Darryl Glenn,2,0.0,Colorado
242,13,Darryl Glenn,3,5.0,Colorado
243,13,Darryl Glenn,4,5.0,Colorado
244,13,Darryl Glenn,5,2.5,Colorado
245,13,Darryl Glenn,6,2.5,Colorado
246,13,Darryl Glenn,7,5.0,Colorado
247,13,Darryl Glenn,8,-2.5,Colorado
248,13,Darryl Glenn,9,5.0,Colorado
249,13,Darryl Glenn,10,5.0,Colorado
250,13,Darryl Glenn,11,5.0,Colorado
251,13,Darryl Glenn,12,5.0,Colorado
252,13,Darryl Glenn,13,0.0,Colorado
253,13,Darryl Glenn,14,5.0,Colorado
254,13,Darryl Glenn,15,5.0,Colorado
255,13,Darryl Glenn,16,-2.5,Colorado
256,13,Darryl Glenn,17,5.0,Colorado
257,13,Darryl Glenn,18,5.0,Colorado
258,13,Darryl Glenn,19,-2.5,Colorado
259,13,Darryl Glenn,20,5.0,Colorado
260,14,Deborah Ross,1,-5.0,North Carolina
261,14,Deborah Ross,2,-5.0,North Carolina
262,14,Deborah Ross,3,-5.0,North Carolina
263,14,Deborah Ross,4,0.0,North Carolina
264,14,Deborah Ross,5,-2.5,North Carolina
265,14,Deborah Ross,6,-5.0,North Carolina
266,14,Deborah Ross,7,-2.5,North Carolina
267,14,Deborah Ross,8,5.0,North Carolina
268,14,Deborah Ross,9,-5.0,North Carolina
269,14,Deborah Ross,10,-5.0,North Carolina
270,14,Deborah Ross,11,-5.0,North Carolina
271,14,Deborah Ross,12,-5.0,North Carolina
272,14,Deborah Ross,13,-5.0,North Carolina
273,14,Deborah Ross,14,-5.0,North Carolina
274,14,Deborah Ross,15,2.5,North Carolina
275,14,Deborah Ross,16,-5.0,North Carolina
276,14,Deborah Ross,17,2.5,North Carolina
277,14,Deborah Ross,18,-2.5,North Carolina
278,14,Deborah Ross,19,-2.5,North Carolina
279,14,Deborah Ross,20,-5.0,North Carolina
280,15,Eliot Glassheim,1,-2.5,North Dakota
281,15,Eliot Glassheim,2,0.0,North Dakota
282,15,Eliot Glassheim,3,-5.0,North Dakota
283,15,Eliot Glassheim,4,0.0,North Dakota
284,15,Eliot Glassheim,5,-2.5,North Dakota
285,15,Eliot Glassheim,6,-5.0,North Dakota
286,15,Eliot Glassheim,7,0.0,North Dakota
287,15,Eliot Glassheim,8,0.0,North Dakota
288,15,Eliot Glassheim,9,2.5,North Dakota
289,15,Eliot Glassheim,10,2.5,North Dakota
290,15,Eliot Glassheim,11,0.0,North Dakota
291,15,Eliot Glassheim,12,-5.0,North Dakota
292,15,Eliot Glassheim,13,0.0,North Dakota
293,15,Eliot Glassheim,14,0.0,North Dakota
294,15,Eliot Glassheim,15,0.0,North Dakota
295,15,Eliot Glassheim,16,-5.0,North Dakota
296,15,Eliot Glassheim,17,5.0,North Dakota
297,15,Eliot Glassheim,18,-5.0,North Dakota
298,15,Eliot Glassheim,19,0.0,North Dakota
299,15,Eliot Glassheim,20,-5.0,North Dakota
300,16,Evan Bayh,1,-2.5,Indiana
301,16,Evan Bayh,2,-5.0,Indiana
302,16,Evan Bayh,3,-5.0,Indiana
303,16,Evan Bayh,4,2.5,Indiana
304,16,Evan Bayh,5,-5.0,Indiana
305,16,Evan Bayh,6,0.0,Indiana
306,16,Evan Bayh,7,-5.0,Indiana
307,16,Evan Bayh,8,-5.0,Indiana
