idx,can_id,candidate,topic,value
266,14,Deborah Ross,7,-2.5
267,14,Deborah Ross,8,5
268,14,Deborah Ross,9,-5
269,14,Deborah Ross,10,-5
270,14,Deborah Ross,11,-5
271,14,Deborah Ross,12,-5
272,14,Deborah Ross,13,-5
273,14,Deborah Ross,14,-5
274,14,Deborah Ross,15,2.5
275,14,Deborah Ross,16,-5
276,14,Deborah Ross,17,2.5
277,14,Deborah Ross,18,-2.5
278,14,Deborah Ross,19,-2.5
279,14,Deborah Ross,20,-5
280,15,Eliot Glassheim,1,-2.5
281,15,Eliot Glassheim,2,0
282,15,Eliot Glassheim,3,-5
283,15,Eliot Glassheim,4,0
284,15,Eliot Glassheim,5,-2.5
285,15,Eliot Glassheim,6,-5
286,15,Eliot Glassheim,7,0
287,15,Eliot Glassheim,8,0
288,15,Eliot Glassheim,9,2.5
289,15,Eliot Glassheim,10,2.5
290,15,Eliot Glassheim,11,0
291,15,Eliot Glassheim,12,-5
292,15,Eliot Glassheim,13,0
293,15,Eliot Glassheim,14,0
294,15,Eliot Glassheim,15,0
295,15,Eliot Glassheim,16,-5
296,15,Eliot Glassheim,17,5
297,15,Eliot Glassheim,18,-5
298,15,Eliot Glassheim,19,0
299,15,Eliot Glassheim,20,-5
300,16,Evan Bayh,1,-2.5
301,16,Evan Bayh,2,-5
302,16,Evan Bayh,3,-5
303,16,Evan Bayh,4,2.5
304,16,Evan Bayh,5,-5
305,16,Evan Bayh,6,0
306,16,Evan Bayh,7,-5
307,16,Evan Bayh,8,-5
308,16,Evan Bayh,9,-2.5
309,16,Evan Bayh,10,-2.5
310,16,Evan Bayh,11,-5
311,16,Evan Bayh,12,-2.5
312,16,Evan Bayh,13,2.5
313,16,Evan Bayh,14,-2.5
314,16,Evan Bayh,15,2.5
315,16,Evan Bayh,16,-5
316,16,Evan Bayh,17,2.5
317,16,Evan Bayh,18,-2.5
318,16,Evan Bayh,19,-2.5
319,16,Evan Bayh,20,-5
320,17,Foster Campbell,1,0
321,17,Foster Campbell,2,-5
322,17,Foster Campbell,3,0
323,17,Foster Campbell,4,0
324,17,Foster Campbell,5,-2.5
325,17,Foster Campbell,6,0
326,17,Foster Campbell,7,-5
327,17,Foster Campbell,8,0
328,17,Foster Campbell,9,2.5
329,17,Foster Campbell,10,0
330,17,Foster Campbell,11,5
331,17,Foster Campbell,12,0
332,17,Foster Campbell,13,0
333,17,Foster Campbell,14,0
334,17,Foster Campbell,15,0
335,17,Foster Campbell,16,-5
336,17,Foster Campbell,17,0
337,17,Foster Campbell,18,0
338,17,Foster Campbell,19,0
339,17,Foster Campbell,20,0
340,18,Frank Gilbert,1,2.5
341,18,Frank Gilbert,2,5
342,18,Frank Gilbert,3,-5
343,18,Frank Gilbert,4,2.5
344,18,Frank Gilbert,5,5
345,18,Frank Gilbert,6,2.5
346,18,Frank Gilbert,7,5
347,18,Frank Gilbert,8,-2.5
348,18,Frank Gilbert,9,-2.5
349,18,Frank Gilbert,10,5
350,18,Frank Gilbert,11,5
351,18,Frank Gilbert,12,-2.5
352,18,Frank Gilbert,13,2.5
353,18,Frank Gilbert,14,5
354,18,Frank Gilbert,15,-2.5
355,18,Frank Gilbert,16,-2.5
356,18,Frank Gilbert,17,-5
357,18,Frank Gilbert,18,2.5
358,18,Frank Gilbert,19,-2.5
359,18,Frank Gilbert,20,2.5
360,19,James Lankford,1,5
361,19,James Lankford,2,5
362,19,James Lankford,3,5
363,19,James Lankford,4,5
364,19,James Lankford,5,5
365,19,James Lankford,6,5
366,19,James Lankford,7,5
367,19,James Lankford,8,5
368,19,James Lankford,9,-5
369,19,James Lankford,10,5
370,19,James Lankford,11,5
371,19,James Lankford,12,5
372,19,James Lankford,13,2.5
373,19,James Lankford,14,5
374,19,James Lankford,15,5
375,19,James Lankford,16,-2.5
376,19,James Lankford,17,5
377,19,James Lankford,18,5
378,19,James Lankford,19,0
379,19,James Lankford,20,2.5
380,20,Jason Kander,1,-5
381,20,Jason Kander,2,-2.5
382,20,Jason Kander,3,-5
383,20,Jason Kander,4,0
384,20,Jason Kander,5,-5
385,20,Jason Kander,6,-2.5
386,20,Jason Kander,7,5
387,20,Jason Kander,8,-5
388,20,Jason Kander,9,-2.5
389,20,Jason Kander,10,-5
390,20,Jason Kander,11,2.5
391,20,Jason Kander,12,-2.5
392,20,Jason Kander,13,-2.5
393,20,Jason Kander,14,-2.5
394,20,Jason Kander,15,2.5
395,20,Jason Kander,16,-2.5
396,20,Jason Kander,17,-2.5
397,20,Jason Kander,18,-5
398,20,Jason Kander,19,2.5
399,20,Jason Kander,20,-2.5
400,21,Jay Williams,1,-5
401,21,Jay Williams,2,-5
402,21,Jay Williams,3,0
403,21,Jay Williams,4,0
404,21,Jay Williams,5,-5
405,21,Jay Williams,6,2.5
406,21,Jay Williams,7,-5
407,21,Jay Williams,8,0
408,21,Jay Williams,9,-5
409,21,Jay Williams,10,-2.5
410,21,Jay Williams,11,-5
411,21,Jay Williams,12,-5
412,21,Jay Williams,13,0
413,21,Jay Williams,14,-5
414,21,Jay Williams,15,0
415,21,Jay Williams,16,-2.5
416,21,Jay Williams,17,-2.5
417,21,Jay Williams,18,-5
418,21,Jay Williams,19,-2.5
419,21,Jay Williams,20,0
420,22,Jerry Moran,1,5
421,22,Jerry Moran,2,-2.5
422,22,Jerry Moran,3,5
423,22,Jerry Moran,4,5
424,22,Jerry Moran,5,2.5
425,22,Jerry Moran,6,5
426,22,Jerry Moran,7,2.5
427,22,Jerry Moran,8,2.5
428,22,Jerry Moran,9,2.5
429,22,Jerry Moran,10,5
430,22,Jerry Moran,11,5
431,22,Jerry Moran,12,2.5
432,22,Jerry Moran,13,5
433,22,Jerry Moran,14,5
434,22,Jerry Moran,15,2.5
435,22,Jerry Moran,16,-2.5
436,22,Jerry Moran,17,5
437,22,Jerry Moran,18,5
438,22,Jerry Moran,19,5
439,22,Jerry Moran,20,2.5
440,23,Jerry Sturgill,1,0
441,23,Jerry Sturgill,2,0
442,23,Jerry Sturgill,3,0
443,23,Jerry Sturgill,4,0
444,23,Jerry Sturgill,5,0
445,23,Jerry Sturgill,6,0
446,23,Jerry Sturgill,7,0
447,23,Jerry Sturgill,8,-5
448,23,Jerry Sturgill,9,0
449,23,Jerry Sturgill,10,2.5
450,23,Jerry Sturgill,11,0
451,23,Jerry Sturgill,12,0
452,23,Jerry Sturgill,13,2.5
453,23,Jerry Sturgill,14,0
454,23,Jerry Sturgill,15,0
455,23,Jerry Sturgill,16,-2.5
456,23,Jerry Sturgill,17,0
457,23,Jerry Sturgill,18,-2.5
458,23,Jerry Sturgill,19,0
459,23,Jerry Sturgill,20,2.5
460,24,Jim Barksdale,1,-2.5
461,24,Jim Barksdale,2,-5
462,24,Jim Barksdale,3,0
463,24,Jim Barksdale,4,-2.5
464,24,Jim Barksdale,5,-5
465,24,Jim Barksdale,6,-5
466,24,Jim Barksdale,7,-5
467,24,Jim Barksdale,8,0
468,24,Jim Barksdale,9,0
469,24,Jim Barksdale,10,5
470,24,Jim Barksdale,11,0
471,24,Jim Barksdale,12,-5
472,24,Jim Barksdale,13,-5
473,24,Jim Barksdale,14,-5
474,24,Jim Barksdale,15,5
475,24,Jim Barksdale,16,-5
476,24,Jim Barksdale,17,-5
477,24,Jim Barksdale,18,-5
478,24,Jim Barksdale,19,0
479,24,Jim Barksdale,20,0
480,25,Jim Gray,1,0
481,25,Jim Gray,2,-5
482,25,Jim Gray,3,-5
483,25,Jim Gray,4,0
484,25,Jim Gray,5,-2.5
485,25,Jim Gray,6,-5
486,25,Jim Gray,7,-2.5
487,25,Jim Gray,8,2.5
488,25,Jim Gray,9,0
489,25,Jim Gray,10,-2.5
490,25,Jim Gray,11,0
491,25,Jim Gray,12,0
492,25,Jim Gray,13,2.5
493,25,Jim Gray,14,-2.5
494,25,Jim Gray,15,2.5
495,25,Jim Gray,16,-5
496,25,Jim Gray,17,5
497,25,Jim Gray,18,5
498,25,Jim Gray,19,-5
499,25,Jim Gray,20,-2.5
500,26,Joe Heck,1,5
501,26,Joe Heck,2,-2.5
502,26,Joe Heck,3,2.5
503,26,Joe Heck,4,0
504,26,Joe Heck,5,5
505,26,Joe Heck,6,5
506,26,Joe Heck,7,5
507,26,Joe Heck,8,2.5
508,26,Joe Heck,9,2.5
509,26,Joe Heck,10,5
510,26,Joe Heck,11,5
511,26,Joe Heck,12,2.5
512,26,Joe Heck,13,-2.5
513,26,Joe Heck,14,2.5
514,26,Joe Heck,15,2.5
