idx,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,party_full,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation
117,Joe Heck,Joe_Heck,2016,http://www.ontheissues.org/Senate/Joe_Heck.htm,494427,0,0.447,5,-2.5,2.5,0,5,5,5,2.5,2.5,5,5,2.5,-2.5,2.5,2.5,-5,2.5,5,-2.5,2.5,0,12.5,30,R,Republican,-10.55006759,5.331756742,6,NV,Nevada,0.4331,-0.0139,0,1,1,1.436773473,2.25695648,0.636597775
121,Joe Miller,Joe_Miller,2016,http://www.ontheissues.org/Senate/Joe_Miller.htm,74245,0,0.295,5,5,5,5,5,5,5,5,2.5,5,5,5,2.5,0,2.5,2.5,5,5,2.5,5,0,40,42.5,L,Libertarian,-17.50914733,2.830141464,3,AK,Alaska,0.042,-0.253,0,1,0,,8.527248203,
125,John Boozman,John_Boozman,2016,http://www.ontheissues.org/Senate/John_Boozman.htm,657856,1,0.598,5,2.5,5,5,5,5,5,2.5,5,5,5,5,5,5,2.5,-2.5,5,5,5,2.5,1,37.5,45,R,Republican,-17.19934879,-2.732002303,0,AR,Arkansas,0.5825,-0.0155,1,1,0,0.897950971,2.068954285,0.434011992
127,John Carroll,John_Carroll,2016,http://www.ontheissues.org/Senate/John_Carroll.htm,92620,0,0.223,5,0,-2.5,0,2.5,5,-2.5,-5,-5,0,5,2.5,5,-2.5,5,5,2.5,5,0,-2.5,0,7.5,15,R,Republican,-3.93076981,3.215340795,5,HI,Hawaii,0.5442,0.3212,0,1,1,1.429954492,4.35890645,0.328053494
129,John Fleming,John_Fleming,2016,http://www.ontheissues.org/Senate/John_Fleming.htm,203959,0,0.106,5,2.5,5,5,2.5,5,2.5,2.5,0,5,5,5,0,5,5,-2.5,2.5,5,0,0,0,27.5,32.5,R,Republican,-13.67260559,2.754917064,3,LA,Louisiana,0.3039,0.1979,0,1,1,,1.311134486,
131,John Hoeven,John_Hoeven,2016,http://www.ontheissues.org/Senate/John_Hoeven.htm,267964,1,0.786,5,-2.5,5,5,5,2.5,-2.5,2.5,2.5,5,2.5,2.5,2.5,5,0,-2.5,2.5,2.5,2.5,-2.5,1,25,17.5,R,Republican,-8.786330692,-0.911662283,5,ND,North Dakota,0.696,-0.09,1,1,0,0.279543098,7.845377424,0.035631568
134,John McCain,John_McCain,2016,http://www.ontheissues.org/Senate/John_McCain.htm,1089324,1,0.534,2.5,-2.5,-2.5,2.5,2.5,5,5,-2.5,2.5,5,2.5,-2.5,5,2.5,2.5,-5,5,-2.5,5,2.5,1,7.5,25,R,Republican,-5.431740481,-5.441319369,5,AZ,Arizona,0.6251,0.0911,1,1,0,1.137987858,0.936330456,1.215369905
135,John Kennedy,John_Neely_Kennedy,2016,http://www.ontheissues.org/Senate/John_Neely_Kennedy.htm,482380,1,0.25,2.5,-5,5,0,-5,-2.5,-2.5,-5,5,5,-2.5,5,-5,5,5,-2.5,-2.5,2.5,0,2.5,0,12.5,-7.5,R,Republican,-0.58157638,-2.41683147,4,LA,Louisiana,0.307,0.057,0,0,1,,1.311134486,
137,John Thune,John_Thune,2016,http://www.ontheissues.org/Senate/John_Thune.htm,265494,1,0.718,5,5,5,5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,2.5,-2.5,5,5,5,5,1,35,42.5,R,Republican,-16.21953892,-1.913133215,0,SD,South Dakota,0.6895,-0.0285,1,1,0,0.598483769,7.003093973,0.085459908
139,Johnny Isakson,Johnny_Isakson,2016,http://www.ontheissues.org/Senate/Johnny_Isakson.htm,2110737,1,0.55,5,0,5,5,2.5,5,5,2.5,5,5,5,5,5,5,2.5,0,5,5,2.5,2.5,1,37.5,40,R,Republican,-16.10081866,-1.880511147,0,GA,Georgia,0.5902,0.0402,1,1,0,0.901826353,0.637326179,1.415015392
142,Joseph Cao,Joseph_Cao,2016,http://www.ontheissues.org/Senate/Joseph_Cao.htm,21011,0,0.011,2.5,0,-2.5,0,-2.5,0,-2.5,-2.5,2.5,-2.5,0,-5,0,0,0,-2.5,2.5,0,0,-5,0,-5,-12.5,R,Republican,5.669637722,-0.702499854,4,LA,Louisiana,0.4441,0.4331,1,0,1,1.353787249,1.311134486,1.032531189
144,Kamala Harris,Kamala_Harris,2016,http://www.ontheissues.org/Senate/Kamala_Harris.htm,6495907,1,0.624,-5,-2.5,-5,0,-2.5,0,0,-2.5,2.5,-5,0,-5,0,-5,0,0,-2.5,-5,-2.5,-5,0,-20,-25,D,Democrat,12.63923534,1.827391569,7,CA,California,0.5712,-0.0528,1,1,1,1.447213874,0.177191876,8.167495648
145,Kathy Szeliga,Kathy_Szeliga,2016,http://www.ontheissues.org/Senate/Kathy_Szeliga.htm,898902,0,0.364,5,-5,5,0,5,2.5,2.5,5,5,5,5,5,5,5,2.5,-5,0,2.5,5,-2.5,0,27.5,25,R,Republican,-10.72788148,-2.519835542,5,MD,Maryland,0.4198,0.0558,0,1,0,1.177613883,1.061390742,1.109500806
146,Katie McGinty,Katie_McGinty,2016,http://www.ontheissues.org/Senate/Katie_McGinty.htm,2793668,0,0.472,-5,-5,-5,0,-5,-5,-5,-5,-2.5,2.5,-5,-2.5,-2.5,-2.5,5,-5,-5,-2.5,-2.5,-2.5,0,-27.5,-32.5,D,Democrat,14.67712259,1.244730864,7,PA,Pennsylvania,0.4747,0.0027,0,1,0,1.243985431,0.456920647,2.722541517
149,Kelly Ayotte,Kelly_Ayotte,2016,http://www.ontheissues.org/Senate/Kelly_Ayotte.htm,353525,0,0.479,5,-5,5,0,5,5,5,2.5,5,5,5,5,0,5,5,-5,5,5,5,5,1,32.5,35,R,Republican,-14.70478988,-2.839422479,0,NH,New Hampshire,0.7106,0.2316,1,0,0,0.588855114,4.25378845,0.138430747
166,Lisa Murkowski,Lisa_Murkowski,2016,http://www.ontheissues.org/Senate/Lisa_Murkowski.htm,111382,1,0.443,2.5,-2.5,5,5,-2.5,2.5,2.5,-2.5,2.5,5,5,2.5,5,5,5,-2.5,5,5,5,2.5,1,27.5,27.5,R,Republican,-10.82041605,-6.3511463,5,AK,Alaska,0.7038,0.2608,1,1,0,0.541813054,8.527248203,0.063539027
167,Loretta Sanchez,Loretta_Sanchez,2016,http://www.ontheissues.org/Senate/Loretta_Sanchez.htm,3918486,0,0.376,-5,-5,-5,-2.5,-5,-2.5,-5,-5,-2.5,-2.5,-2.5,-5,-2.5,-5,2.5,-2.5,-2.5,-5,-5,-2.5,0,-32.5,-37.5,D,Democrat,17.03176002,3.737171516,2,CA,California,0.5284,0.1524,0,1,1,1.447213874,0.177191876,8.167495648
168,Maggie Hassan,Maggie_Hassan,2016,http://www.ontheissues.org/Senate/Maggie_Hassan.htm,354268,1,0.48,-5,-5,-5,0,-5,0,-5,2.5,2.5,-2.5,0,2.5,2.5,2.5,2.5,-2.5,5,-5,-2.5,-5,0,0,-22.5,D,Democrat,8.132442847,-2.76660117,1,NH,New Hampshire,0.4281,-0.0519,0,0,0,0.588855114,4.25378845,0.138430747
170,Marco Rubio,Marco_Rubio,2016,http://www.ontheissues.org/Senate/Marco_Rubio.htm,4822182,1,0.52,5,2.5,5,5,2.5,-2.5,5,5,2.5,5,5,2.5,2.5,2.5,5,-2.5,5,2.5,5,5,1,37.5,30,R,Republican,-13.83052831,-1.812523781,0,FL,Florida,0.6054,0.0854,1,1,1,1.320490368,0.304201041,4.340847632
171,Margaret Flowers,Margaret_Flowers,2016,http://www.ontheissues.org/Senate/Margaret_Flowers.htm,78752,0,0.032,-5,0,-5,-5,-5,0,-5,-5,-5,-5,0,0,-5,-5,-5,0,-5,-5,0,-5,0,-35,-35,O,Green,16.79422583,4.807969522,2,MD,Maryland,0.1568,0.1248,0,1,0,,1.061390742,
174,Mark Callahan,Mark_Callahan,2016,http://www.ontheissues.org/Senate/Mark_Callahan.htm,616203,0,0.336,5,0,5,5,5,0,5,5,0,5,5,5,0,5,2.5,-2.5,5,5,0,2.5,0,30,32.5,R,Republican,-14.31849674,3.093893835,3,OR,Oregon,0.4621,0.1261,0,1,1,1.380948476,1.47149494,0.938466343
177,Mark Kirk,Mark_Kirk,2016,http://www.ontheissues.org/Senate/Mark_Kirk.htm,2150099,0,0.402,-5,-2.5,-5,2.5,2.5,2.5,2.5,-5,2.5,-5,5,0,2.5,5,2.5,-5,2.5,-2.5,2.5,2.5,1,-7.5,12.5,R,Republican,1.217903012,-4.571675955,4,IL,Illinois,0.5831,0.1811,1,0,0,1.25165856,0.495679207,2.525138321
