Year,state_abbr,candidate,votes
2016,FL,Paul Stanton,196188
2016,FL,Steven Machat,26789
2016,FL,Tony Khoury,45604
2016,GA,Allen Buckley,159914
2016,GA,Jim Barksdale,1565006
2016,GA,Johnny Isakson,2110737
2016,HI,Brian Schatz,306543
2016,HI,John Carroll,92620
2016,HI,Joy Allison,9096
2016,HI,Michael Kokoski,6806
2016,IA,Charles Aldrich,41609
2016,IA,Charles Grassley,923280
2016,IA,Jim Hennager,17571
2016,IA,Michael Luick-Thrams,4416
2016,IA,Patty Judge,546974
2016,ID,Jerry Sturgill,188104
2016,ID,Mike Crapo,447342
2016,ID,Ray Writz,41645
2016,IL,Kenton McMillen,172068
2016,IL,Mark Kirk,2150099
2016,IL,Scott Summers,113965
2016,IL,Tammy Duckworth,2908363
2016,IN,Evan Bayh,1157799
2016,IN,Lucy Brenton,149365
2016,IN,Todd Young,1423001
2016,KS,Jerry Moran,716661
2016,KS,Patrick Wiesner,368672
2016,KS,Robert Garrard,63428
2016,KY,Jim Gray,813222
2016,KY,Rand Paul,1090151
2016,LA,Abhay Patel,1574
2016,LA,Arden Wells,1481
2016,LA,Beryl Billiot,19340
2016,LA,Bob Lang,1424
2016,LA,Caroline Fayard,240748
2016,LA,Charles Boustany,297744
2016,LA,Charles Marsala,3683
2016,LA,David Duke,58581
2016,LA,Derrick Edwards,51724
2016,LA,Donald Crawford,25503
2016,LA,Foster Campbell,337682
2016,LA,Gary Landrieu,45520
2016,LA,Gregory Taylor,1150
2016,LA,John Fleming,203959
2016,LA,John Kennedy,482380
2016,LA,Joseph Cao,21011
2016,LA,Joshua Pellerin,7386
2016,LA,Kaitlin Marone,4102
2016,LA,Le Roy Gillam,4063
2016,LA,Peter Williams,6844
2016,LA,Rob Maness,90812
2016,LA,Thomas Clements,11363
2016,LA,Troy Hebert,9484
2016,LA,Vinny Mendoza,4923
2016,MD,Chris Van Hollen,1488845
2016,MD,Kathy Szeliga,898902
2016,MD,Margaret Flowers,78752
2016,MO,Fred Ryman,25194
2016,MO,Jason Kander,1283222
2016,MO,Johnathan McFarland,30413
2016,MO,Jonathan Dine,67067
2016,MO,Roy Blunt,1370240
2016,NC,Deborah Ross,2102666
2016,NC,Richard Burr,2371192
2016,NC,Sean Haugh,165319
2016,ND,Eliot Glassheim,57976
2016,ND,James Germalic,4661
2016,ND,John Hoeven,267964
2016,ND,Robert Marquette,10521
2016,NH,Aaron Day,17702
2016,NH,Brian Chabot,12988
2016,NH,Kelly Ayotte,353525
2016,NH,Maggie Hassan,354268
2016,NV,Catherine Cortez Masto,520658
2016,NV,Jarrod Williams,6864
2016,NV,Joe Heck,494427
2016,NV,None of these candidates,42085
2016,NV,Tom Jones,17104
2016,NV,Tom Sawyer,14163
2016,NV,Tony Gumina,10719
2016,NY,Alex Merced,43856
2016,NY,Charles Schumer,4788374
2016,NY,Robin Wilson,102238
2016,NY,Wendy Long,1865072
2016,OH,Joseph DeMare,84521
2016,OH,Rob Portman,3048467
2016,OH,Scott Rupert,74682
2016,OH,Ted Strickland,1929873
2016,OH,Tom Connors,89977
2016,OK,James Lankford,979728
2016,OK,Mark Beard,27357
2016,OK,Mike Workman,355389
2016,OK,Robert Murphy,43345
2016,OK,Sean Braddy,40322
2016,OR,Eric Navickas,43905
2016,OR,Jim Lindsay,21690
2016,OR,Mark Callahan,616203
2016,OR,Ron Wyden,1038632
2016,OR,Shanti Lewallen,56153
2016,OR,Steven Reynolds,54915
2016,PA,Edward Clifford,230562
2016,PA,Katie McGinty,2793668
2016,PA,Pat Toomey,2893833
2016,SC,Bill Bledsoe,37124
2016,SC,Rebel Michael Scarborough,11861
2016,SC,Thomas Dixon,752001
2016,SC,Tim Scott,1228844
