,state_abbr,year,candidate,party,votes_total
234,ME,2012,Charles Summers,REP,213644.0
235,ME,2012,Cynthia Dill,DEM,91694.0
236,ME,2012,Stephen Woods,IND,10297.0
237,ME,2012,Danny Dalton,NPA,6510.0
238,ME,2012,Andrew Dodge,NPA,6313.0
239,MD,2012,Benjamin Cardin,DEM,1335706.0
240,MD,2012,Daniel Bongino,REP,642443.0
241,MD,2012,Rob Sobhani,UNA,409785.0
242,MD,2012,Dean Ahmad,LIB,29345.0
243,MA,2012,Elizabeth Warren,DEM,1678408.0
244,MA,2012,Scott Brown,REP,1449180.0
245,MI,2012,Debbie Stabenow,DEM,2732886.0
246,MI,2012,Pete Hoekstra,REP,1765548.0
247,MI,2012,Scotty Boman,LIB,84463.0
248,MI,2012,Harley Mikkelson,GRN,27896.0
249,MI,2012,Richard Matkin,UST,26022.0
250,MI,2012,John Litle,OTH,11234.0
251,MN,2012,Amy Klobuchar,DEM,1856196.0
252,MN,2012,Kurt Bills,REP,868977.0
253,MN,2012,Stephen Williams,OTH,73640.0
254,MN,2012,Tim Davis,GRP,30578.0
255,MN,2012,Michael Cavlan,OTH,14009.0
256,MS,2012,Roger Wicker,REP,673223.0
257,MS,2012,Albert Gore,DEM,472930.0
258,MS,2012,Thomas Cramer,CST,14486.0
259,MS,2012,Shawn O'Hara,RP,12559.0
260,MO,2012,Claire McCaskill,DEM,1484683.0
261,MO,2012,Todd Akin,REP,1063698.0
262,MO,2012,Jonathan Dine,LIB,164991.0
263,MT,2012,Jon Tester,DEM,234465.0
264,MT,2012,Denny Rehberg,REP,215701.0
265,MT,2012,Dan Cox,LIB,31287.0
266,NE,2012,Deb Fischer,REP,444319.0
267,NE,2012,Bob Kerrey,DEM,318930.0
268,NV,2012,Dean Heller,REP,456471.0
269,NV,2012,Shelley Berkley,DEM,444337.0
270,NV,2012,David VanDerBeek,OTH,48544.0
271,NV,2012,None of these candidates,NPD,44892.0
272,NJ,2012,Robert Menendez,DEM,1828417.0
273,NJ,2012,Joe Kyrillos,REP,1244734.0
274,NJ,2012,Kenneth Kaplan,IND,15169.0
275,NJ,2012,Ken Wolski,IND,14323.0
276,NJ,2012,Gwen Diakos,IND,8429.0
277,NJ,2012,David Dranikoff,IND,3427.0
278,NJ,2012,Inder Soni,IND,3276.0
279,NJ,2012,Robert Turkavage,IND,3204.0
280,NJ,2012,Eugene Lavergne,IND,2041.0
281,NJ,2012,Gregory Pason,IND,1964.0
282,NJ,2012,Daryl Brooks,IND,1876.0
283,NM,2012,Martin Heinrich,DEM,389274.0
284,NM,2012,Heather Wilson,REP,346938.0
285,NM,2012,Jon Barrie,OTH,27710.0
286,NY,2012,Kirsten Gillibrand,DEM,4212518.0
287,NY,2012,Wendy Long,REP,1561893.0
288,NY,2012,Colia Clark,GRN,36547.0
289,NY,2012,Chris Edes,LIB,28315.0
290,NY,2012,John Mangelli,OTH,20223.0
291,ND,2012,Heidi Heitkamp,DEM,160752.0
292,ND,2012,Rick Berg,REP,157758.0
293,OH,2012,Sherrod Brown,DEM,2645901.0
294,OH,2012,Josh Mandel,REP,2371230.0
295,OH,2012,Scott Rupert,IND,241102.0
296,PA,2012,Robert Casey,DEM,2943289.0
297,PA,2012,Thomas Smith,REP,2453730.0
298,PA,2012,Rayburn Smith,LIB,94362.0
299,RI,2012,Sheldon Whitehouse,DEM,265687.0
300,RI,2012,Barry Hinckley,REP,144620.0
301,TN,2012,Bob Corker,REP,1496668.0
302,TN,2012,Mark Clayton,DEM,700753.0
303,TN,2012,Martin Pleasant,GRN,37964.0
304,TN,2012,Shaun Crowell,IND,20813.0
305,TN,2012,Kermit Steck,CST,18490.0
306,TN,2012,Michel Long,IND,8043.0
307,TN,2012,James Higdon,IND,8036.0
308,TN,2012,Troy Scoggin,IND,7105.0
309,TN,2012,David Gatchell,IND,6469.0
310,TX,2012,Ted Cruz,REP,4456599.0
311,TX,2012,Paul Sadler,DEM,3183314.0
312,TX,2012,John Myers,LIB,161462.0
313,TX,2012,David Collins,GRN,67791.0
314,UT,2012,Orrin Hatch,REP,595972.0
315,UT,2012,Scott Howell,DEM,275880.0
316,UT,2012,Shaun McCausland,CST,28367.0
317,UT,2012,Daniel Geery,OTH,7444.0
318,UT,2012,Baron Hill,OTH,0.0
319,VT,2012,Bernard Sanders,IND,208253.0
320,VT,2012,John MacGovern,REP,72629.0
321,VT,2012,Cris Ericson,IND,5912.0
322,VT,2012,Peter Moss,IND,2543.0
323,VT,2012,Pete Diamondstone,LUN,2511.0
324,VT,2012,Laurel LaFramboise,IND,896.0
325,VA,2012,Timothy Kaine,DEM,1944992.0
326,VA,2012,George Allen,REP,1758857.0
327,WA,2012,Maria Cantwell,DEM,1714271.0
328,WA,2012,Michael Baumgartner,REP,1135453.0
329,WV,2012,Joe Manchin,DEM,394532.0
330,WV,2012,John Raese,REP,237825.0
331,WV,2012,Bob Baber,OTH,19231.0
332,WI,2012,Tammy Baldwin,DEM,1544274.0
333,WI,2012,Tommy Thompson,REP,1377253.0
334,WI,2012,Joseph Kexel,LIB,61908.0
335,WI,2012,Nimrod Allen,IND,16327.0
336,WY,2012,John Barrasso,REP,184531.0
337,WY,2012,Tim Chesnut,DEM,52596.0
338,WY,2012,Joel Otto,OTH,6138.0
339,AL,2014,Jeff Sessions,GOP,
340,AK,2014,Dan Sullivan,GOP,119579.0
341,AK,2014,Mark Begich,DEM,111668.0
342,AK,2014,Mark Fish,LIB,9026.0
343,AK,2014,Ted Gianoutsos,NPA,4725.0
344,AR,2014,Tom Cotton,GOP,476309.0
345,AR,2014,Mark Pryor,DEM,332669.0
346,AR,2014,Nathan LaFrance,LIB,17103.0
347,AR,2014,Mark Swaney,GRN,16717.0
348,CO,2014,Cory Gardner,GOP,965974.0
349,CO,2014,Mark Udall,DEM,916245.0
350,CO,2014,Gaylon Kent,LIB,51225.0
351,CO,2014,Steve Shogan,UNA,28604.0
352,CO,2014,Raul Acosta,UNA,23342.0
353,CO,2014,Bill Hammons,UTY,6217.0
354,DC,2014,Paul Strauss,DEM,99082.0
355,DC,2014,David Schwartzman,DCG,13703.0
356,DC,2014,Glenda Richmond,IND,8947.0
357,DC,2014,John Daniel,LIB,6399.0
358,DE,2014,Christopher Coons,DEM,130645.0
359,DE,2014,Kevin Wade,GOP,98819.0
360,DE,2014,Andrew Groff,GRN,4560.0
361,GA,2014,David Perdue,GOP,1355392.0
362,GA,2014,Michelle Nunn,DEM,1154388.0
363,GA,2014,Amanda Swafford,LIB,48930.0
364,HI,2014,Brian Schatz,DEM,246720.0
365,HI,2014,Cam Cavasso,GOP,97972.0
366,HI,2014,Michael Kokoski,LIB,8936.0
367,ID,2014,Jim Risch,GOP,285322.0
368,ID,2014,Nels Mitchell,DEM,151697.0
369,IL,2014,Richard Durbin,DEM,1850862.0
370,IL,2014,Jim Oberweis,GOP,1503942.0
371,IL,2014,Sharon Hansen,LIB,130762.0
372,IA,2014,Joni Ernst,GOP,586921.0
373,IA,2014,Bruce Braley,DEM,491708.0
374,IA,2014,Rick Stewart,IND,26662.0
375,IA,2014,Douglas Butzier,LIB,8315.0
376,IA,2014,Bob Quast,OTH,5928.0
377,IA,2014,Ruth Smith,IND,4711.0
378,KS,2014,Pat Roberts,GOP,449974.0
379,KS,2014,Greg Orman,IND,358898.0
380,KS,2014,Randall Batson,LIB,36002.0
381,KY,2014,Mitch McConnell,GOP,806795.0
382,KY,2014,Alison Lundergan Grimes,DEM,584699.0
383,KY,2014,David Patterson,LIB,44240.0
384,LA,2014,Mary Landrieu,DEM,618840.0
385,LA,2014,William Cassidy,GOP,602439.0
386,LA,2014,Rob Maness,GOP,202413.0
387,LA,2014,Thomas Clements,GOP,14158.0
388,LA,2014,Brannon McMorris,LIB,13024.0
389,LA,2014,Wayne Ables,DEM,11318.0
390,LA,2014,William Waymire,DEM,4669.0
391,LA,2014,Vallian Senegal,DEM,3831.0
392,ME,2014,Susan Collins,GOP,412211.0
393,ME,2014,Shenna Bellows,DEM,189653.0
394,MA,2014,Edward Markey,DEM,1285736.0
395,MA,2014,Brian Herr,GOP,789378.0
396,MI,2014,Gary Peters,DEM,1693781.0
397,MI,2014,Terri Lynn Land,GOP,1283850.0
398,MI,2014,Jim Fulner,LIB,62504.0
399,MI,2014,Richard Matkin,UST,37155.0
400,MI,2014,Chris Wahmhoff,GRN,26040.0
401,MN,2014,Al Franken,DEM,1052794.0
402,MN,2014,Mike McFadden,GOP,849932.0
403,MN,2014,Steve Carlson,INP,47604.0
404,MN,2014,Heather Johnson,LIB,29686.0
405,MS,2014,Thad Cochran,GOP,370208.0
406,MS,2014,Travis Childers,DEM,228974.0
407,MS,2014,Shawn O'Hara,RP,13660.0
408,MT,2014,Steve Daines,GOP,210863.0
409,MT,2014,Amanda Curtis,DEM,145601.0
410,MT,2014,Roger Roots,LIB,7712.0
411,NE,2014,Ben Sasse,GOP,339868.0
412,NE,2014,Dave Domina,DEM,162874.0
413,NE,2014,Jim Jenkins,PEC,15513.0
414,NE,2014,Todd Watson,PEC,6114.0
415,NH,2014,Jeanne Shaheen,DEM,250722.0
416,NH,2014,Scott Brown,GOP,234846.0
417,NJ,2014,Cory Booker,DEM,1016204.0
418,NJ,2014,Jeff Bell,GOP,772991.0
419,NJ,2014,Joseph Baratelli,IND,16304.0
420,NJ,2014,Hank Schroeder,IND,5519.0
421,NJ,2014,Jeff Boss,IND,4405.0
422,NJ,2014,Eugene Lavergne,IND,3790.0
423,NJ,2014,Antonio Sabas,IND,3422.0
424,NM,2014,Tom Udall,DEM,280074.0
425,NM,2014,Allen Weh,GOP,225706.0
426,NC,2014,Thom Tillis,GOP,1413269.0
427,NC,2014,Kay Hagan,DEM,1364758.0
428,NC,2014,Sean Haugh,LIB,108183.0
429,OK,2014,James Inhofe,GOP,557537.0
430,OK,2014,Matt Silverstein,DEM,233932.0
