,full_name,first_name,last_name,party,state,url,year,next_senate_year,reelection_year
116,Bill_Nelson,Bill,Nelson,D,FL,http://www.ontheissues.org/Senate/Bill_Nelson.htm,2014,2016,2020
117,Marco_Rubio,Marco,Rubio,R,FL,http://www.ontheissues.org/Senate/Marco_Rubio.htm,2014,2016,2020
118,Johnny_Isakson,Johnny,Isakson,R,GA,http://www.ontheissues.org/Senate/Johnny_Isakson.htm,2014,2016,2020
119,David_Perdue,David,Perdue,R,GA,http://www.ontheissues.org/Senate/David_Perdue.htm,2014,2016,2020
120,Brian_Schatz,Brian,Schatz,D,HI,http://www.ontheissues.org/Senate/Brian_Schatz.htm,2014,2016,2020
121,Mazie_Hirono,Mazie,Hirono,D,HI,http://www.ontheissues.org/Senate/Mazie_Hirono.htm,2014,2016,2020
122,Michael_Crapo,Michael,Crapo,R,ID,http://www.ontheissues.org/Senate/Michael_Crapo.htm,2014,2016,2020
123,Jim_Risch,Jim,Risch,R,ID,http://www.ontheissues.org/Senate/Jim_Risch.htm,2014,2016,2020
124,Richard_Durbin,Richard,Durbin,D,IL,http://www.ontheissues.org/Senate/Richard_Durbin.htm,2014,2016,2020
125,Mark_Kirk,Mark,Kirk,R,IL,http://www.ontheissues.org/Senate/Mark_Kirk.htm,2014,2016,2020
126,Daniel_Coats,Daniel,Coats,R,IN,http://www.ontheissues.org/Senate/Daniel_Coats.htm,2014,2016,2020
127,Joe_Donnelly,Joe,Donnelly,D,IN,http://www.ontheissues.org/Senate/Joe_Donnelly.htm,2014,2016,2020
128,Chuck_Grassley,Chuck,Grassley,R,IA,http://www.ontheissues.org/Senate/Chuck_Grassley.htm,2014,2016,2020
129,Joni_Ernst,Joni,Ernst,R,IA,http://www.ontheissues.org/Senate/Joni_Ernst.htm,2014,2016,2020
130,Pat_Roberts,Pat,Roberts,R,KS,http://www.ontheissues.org/Senate/Pat_Roberts.htm,2014,2016,2020
131,Jerry_Moran,Jerry,Moran,R,KS,http://www.ontheissues.org/Senate/Jerry_Moran.htm,2014,2016,2020
132,Mitch_McConnell,Mitch,McConnell,R,KY,http://www.ontheissues.org/Senate/Mitch_McConnell.htm,2014,2016,2020
133,Rand_Paul,Rand,Paul,R,KY,http://www.ontheissues.org/Senate/Rand_Paul.htm,2014,2016,2020
134,David_Vitter,David,Vitter,R,LA,http://www.ontheissues.org/Senate/David_Vitter.htm,2014,2016,2020
135,Bill_Cassidy,Bill,Cassidy,R,LA,http://www.ontheissues.org/Senate/Bill_Cassidy.htm,2014,2016,2020
136,Susan_Collins,Susan,Collins,R,ME,http://www.ontheissues.org/Senate/Susan_Collins.htm,2014,2016,2020
137,Angus_King,Angus,King,I,ME,http://www.ontheissues.org/Senate/Angus_King.htm,2014,2016,2020
138,Barbara_Mikulski,Barbara,Mikulski,D,MD,http://www.ontheissues.org/Senate/Barbara_Mikulski.htm,2014,2016,2020
139,Ben_Cardin,Ben,Cardin,D,MD,http://www.ontheissues.org/Senate/Ben_Cardin.htm,2014,2016,2020
140,Elizabeth_Warren,Elizabeth,Warren,D,MA,http://www.ontheissues.org/Senate/Elizabeth_Warren.htm,2014,2016,2020
141,Ed_Markey,Ed,Markey,D,MA,http://www.ontheissues.org/Senate/Ed_Markey.htm,2014,2016,2020
142,Debbie_Stabenow,Debbie,Stabenow,D,MI,http://www.ontheissues.org/Senate/Debbie_Stabenow.htm,2014,2016,2020
143,Gary_Peters,Gary,Peters,D,MI,http://www.ontheissues.org/Senate/Gary_Peters.htm,2014,2016,2020
144,Amy_Klobuchar,Amy,Klobuchar,D,MN,http://www.ontheissues.org/Senate/Amy_Klobuchar.htm,2014,2016,2020
145,Al_Franken,Al,Franken,R,MN,http://www.ontheissues.org/Senate/Al_Franken.htm,2014,2016,2020
146,Thad_Cochran,Thad,Cochran,R,MS,http://www.ontheissues.org/Senate/Thad_Cochran.htm,2014,2016,2020
147,Roger_Wicker,Roger,Wicker,R,MS,http://www.ontheissues.org/Senate/Roger_Wicker.htm,2014,2016,2020
148,Claire_McCaskill,Claire,McCaskill,D,MO,http://www.ontheissues.org/Senate/Claire_McCaskill.htm,2014,2016,2020
149,Roy_Blunt,Roy,Blunt,R,MO,http://www.ontheissues.org/Senate/Roy_Blunt.htm,2014,2016,2020
150,Jon_Tester,Jon,Tester,D,MT,http://www.ontheissues.org/Senate/Jon_Tester.htm,2014,2016,2020
151,Steve_Daines,Steve,Daines,R,MT,http://www.ontheissues.org/Senate/Steve_Daines.htm,2014,2016,2020
152,Deb_Fischer,Deb,Fischer,R,NE,http://www.ontheissues.org/Senate/Deb_Fischer.htm,2014,2016,2020
153,Ben_Sasse,Ben,Sasse,R,NE,http://www.ontheissues.org/Senate/Ben_Sasse.htm,2014,2016,2020
154,Harry_Reid,Harry,Reid,D,NV,http://www.ontheissues.org/Senate/Harry_Reid.htm,2014,2016,2020
155,Dean_Heller,Dean,Heller,R,NV,http://www.ontheissues.org/Senate/Dean_Heller.htm,2014,2016,2020
156,Jeanne_Shaheen,Jeanne,Shaheen,D,NH,http://www.ontheissues.org/Senate/Jeanne_Shaheen.htm,2014,2016,2020
