,state_abbr,year,candidate,party,votes_total
265,MT,2012,Dan Cox,LIB,31287
266,NE,2012,Deb Fischer,REP,444319
267,NE,2012,Bob Kerrey,DEM,318930
268,NV,2012,Dean Heller,REP,456471
269,NV,2012,Shelley Berkley,DEM,444337
270,NV,2012,David VanDerBeek,OTH,48544
271,NV,2012,None of these candidates,NPD,44892
272,NJ,2012,Robert Menendez,DEM,1828417
273,NJ,2012,Joe Kyrillos,REP,1244734
274,NJ,2012,Kenneth Kaplan,IND,15169
275,NJ,2012,Ken Wolski,IND,14323
276,NJ,2012,Gwen Diakos,IND,8429
277,NJ,2012,David Dranikoff,IND,3427
278,NJ,2012,Inder Soni,IND,3276
279,NJ,2012,Robert Turkavage,IND,3204
280,NJ,2012,Eugene Lavergne,IND,2041
281,NJ,2012,Gregory Pason,IND,1964
282,NJ,2012,Daryl Brooks,IND,1876
283,NM,2012,Martin Heinrich,DEM,389274
284,NM,2012,Heather Wilson,REP,346938
285,NM,2012,Jon Barrie,OTH,27710
286,NY,2012,Kirsten Gillibrand,DEM,4212518
287,NY,2012,Wendy Long,REP,1561893
288,NY,2012,Colia Clark,GRN,36547
289,NY,2012,Chris Edes,LIB,28315
290,NY,2012,John Mangelli,OTH,20223
291,ND,2012,Heidi Heitkamp,DEM,160752
292,ND,2012,Rick Berg,REP,157758
293,OH,2012,Sherrod Brown,DEM,2645901
294,OH,2012,Josh Mandel,REP,2371230
295,OH,2012,Scott Rupert,IND,241102
296,PA,2012,Robert Casey,DEM,2943289
297,PA,2012,Thomas Smith,REP,2453730
298,PA,2012,Rayburn Smith,LIB,94362
299,RI,2012,Sheldon Whitehouse,DEM,265687
300,RI,2012,Barry Hinckley,REP,144620
301,TN,2012,Bob Corker,REP,1496668
302,TN,2012,Mark Clayton,DEM,700753
303,TN,2012,Martin Pleasant,GRN,37964
304,TN,2012,Shaun Crowell,IND,20813
305,TN,2012,Kermit Steck,CST,18490
306,TN,2012,Michel Long,IND,8043
307,TN,2012,James Higdon,IND,8036
308,TN,2012,Troy Scoggin,IND,7105
309,TN,2012,David Gatchell,IND,6469
310,TX,2012,Ted Cruz,REP,4456599
311,TX,2012,Paul Sadler,DEM,3183314
312,TX,2012,John Myers,LIB,161462
313,TX,2012,David Collins,GRN,67791
314,UT,2012,Orrin Hatch,REP,595972
315,UT,2012,Scott Howell,DEM,275880
316,UT,2012,Shaun McCausland,CST,28367
317,UT,2012,Daniel Geery,OTH,7444
318,UT,2012,Baron Hill,OTH,0
319,VT,2012,Bernard Sanders,IND,208253
320,VT,2012,John MacGovern,REP,72629
321,VT,2012,Cris Ericson,IND,5912
322,VT,2012,Peter Moss,IND,2543
323,VT,2012,Pete Diamondstone,LUN,2511
324,VT,2012,Laurel LaFramboise,IND,896
325,VA,2012,Timothy Kaine,DEM,1944992
326,VA,2012,George Allen,REP,1758857
327,WA,2012,Maria Cantwell,DEM,1714271
328,WA,2012,Michael Baumgartner,REP,1135453
329,WV,2012,Joe Manchin,DEM,394532
330,WV,2012,John Raese,REP,237825
331,WV,2012,Bob Baber,OTH,19231
332,WI,2012,Tammy Baldwin,DEM,1544274
333,WI,2012,Tommy Thompson,REP,1377253
334,WI,2012,Joseph Kexel,LIB,61908
335,WI,2012,Nimrod Allen,IND,16327
336,WY,2012,John Barrasso,REP,184531
337,WY,2012,Tim Chesnut,DEM,52596
338,WY,2012,Joel Otto,OTH,6138
339,AL,2014,Jeff Sessions,GOP,
340,AK,2014,Dan Sullivan,GOP,119579
341,AK,2014,Mark Begich,DEM,111668
342,AK,2014,Mark Fish,LIB,9026
343,AK,2014,Ted Gianoutsos,NPA,4725
