,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
39,Ben_Cardin,Ben,Cardin,D,MD,http://www.ontheissues.org/Senate/Ben_Cardin.htm,-5,-5,-5,-5,-5,-3,-5,-5,-2,-5,-5,-5,2,-5,3,-2,-2,-5,-5,-5,-33,-41
40,Elizabeth_Warren,Elizabeth,Warren,D,MA,http://www.ontheissues.org/Senate/Elizabeth_Warren.htm,-5,-5,-5,-2,-5,-5,-3,-5,-2,-5,-5,-5,-3,0,-2,-5,-2,-5,3,-5,-30,-41
41,Ed_Markey,Ed,Markey,D,MA,http://www.ontheissues.org/Senate/Ed_Markey.htm,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3,-2,-5,-2,-5,-5,-5,-44,-46
42,Debbie_Stabenow,Debbie,Stabenow,D,MI,http://www.ontheissues.org/Senate/Debbie_Stabenow.htm,-5,-5,-5,3,-5,-3,-5,-5,3,-5,-3,-2,-3,-5,-2,-5,-2,-3,-5,-5,-25,-42
43,Gary_Peters,Gary,Peters,D,MI,http://www.ontheissues.org/Senate/Gary_Peters.htm,-5,-5,-5,5,-5,-5,-5,-5,-2,-5,-5,-2,-5,-3,0,-5,3,-5,-5,-5,-21,-48
44,Amy_Klobuchar,Amy,Klobuchar,D,MN,http://www.ontheissues.org/Senate/Amy_Klobuchar.htm,-5,-5,-5,0,-5,-5,-3,-2,3,-3,-5,0,-3,-3,-2,-5,-2,-5,3,-5,-15,-42
45,Al_Franken,Al,Franken,R,MN,http://www.ontheissues.org/Senate/Al_Franken.htm,-5,-3,-5,-2,-5,-5,-3,-2,-2,-5,-5,-5,-3,-5,-5,-5,-5,-5,-5,-5,-41,-44
46,Thad_Cochran,Thad,Cochran,R,MS,http://www.ontheissues.org/Senate/Thad_Cochran.htm,3,-3,5,5,2,5,5,3,3,5,5,3,2,5,5,-2,5,2,5,2,35,30
47,Roger_Wicker,Roger,Wicker,R,MS,http://www.ontheissues.org/Senate/Roger_Wicker.htm,5,2,5,5,2,2,5,0,5,5,5,5,5,5,5,0,5,5,5,2,40,38
48,Claire_McCaskill,Claire,McCaskill,D,MO,http://www.ontheissues.org/Senate/Claire_McCaskill.htm,-5,-5,-5,0,-5,-3,-3,-2,3,-3,-5,3,0,-3,3,-5,-2,-3,3,-5,-7,-35
49,Roy_Blunt,Roy,Blunt,R,MO,http://www.ontheissues.org/Senate/Roy_Blunt.htm,5,2,5,5,5,5,2,3,3,5,5,3,5,5,5,-2,5,5,5,2,37,41
50,Jon_Tester,Jon,Tester,D,MT,http://www.ontheissues.org/Senate/Jon_Tester.htm,-5,-5,-2,-2,-5,-5,-3,-2,-2,5,-5,3,-3,-5,-2,-5,-2,-5,3,-5,-16,-36
